iteration,AlNxSpan_um,AlNySpan_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
5,1.958195906430779e-06,2.091436999548474e-06,2.0590057120959685e-06,-2.5116278452521926e-07,34.0510649405172,2.4699997632083663e-14,success
6,7.476585533240943e-07,6.026305205864957e-07,5.437661006706165e-07,8.406726155127706e-07,38.589299946213835,0.0,success
7,2.031354540266187e-06,7.698009362631172e-07,5.445983299548448e-07,8.240335907728621e-07,46.717410255866945,0.0,success
8,1.9462833324004454e-06,9.965796857221153e-07,2.128e-06,1.064e-06,36.648522213987036,4.8025548095810216e-14,success
9,1.484117952272764e-06,2.128e-06,5.32e-07,1.6321341036197495e-07,32.40857994292678,1.827343281402488e-14,success
10,5.32e-07,2.128e-06,2.128e-06,-1.064e-06,42.64652206119987,2.7563378293765016e-14,success
11,2.128e-06,2.128e-06,5.32e-07,3.79374700361461e-07,31.02264272151877,0.0,success
12,2.128e-06,1.1823457951478162e-06,5.32e-07,-1.0425670567153813e-07,30.0,4.449758432103726e-15,success
13,2.128e-06,2.128e-06,2.128e-06,-1.064e-06,48.101213260350804,5.860699858015422e-15,success
14,7.073668182414796e-07,1.7976986624704901e-06,1.2739688027849953e-06,7.846302059654793e-07,37.74053583294403,0.0,success
15,5.32e-07,5.325442706915363e-07,1.5801375137801457e-06,-9.332417181476625e-07,30.0,0.0,success
16,5.32e-07,5.32e-07,2.128e-06,-1.064e-06,50.0,2.8763772179072566e-14,success
17,2.128e-06,1.9964832879739946e-06,1.3418503521279205e-06,-6.978242861898795e-07,50.0,0.0,success
18,2.128e-06,2.128e-06,5.32e-07,8.628282988147839e-07,30.0,0.0,success
19,5.32e-07,5.32e-07,2.128e-06,-1.064e-06,30.0,6.367605368345682e-14,success
20,5.32e-07,7.014375736235697e-07,2.128e-06,2.659679194734982e-07,45.177337282482725,7.695665290020664e-15,success
21,5.32e-07,2.128e-06,1.1351965080658138e-06,1.064e-06,50.0,0.0,success
22,2.128e-06,2.128e-06,5.32e-07,-2.1081815161999923e-07,35.66002313297437,4.414299435612564e-16,success
23,5.32e-07,5.32e-07,5.32e-07,1.064e-06,30.0,0.0,success
24,2.128e-06,2.128e-06,2.128e-06,-1.064e-06,46.20596146255123,6.507464746679294e-15,success
1,1.33e-06,1.33e-06,1.33e-06,0.0,40.0,1.7024674616503813e-13,success
2,1.5934523816108704e-06,1.5756820917129516e-06,1.607469641685486e-06,-8.656793777942657e-07,42.93039917945862,0.0,success
3,1.859317956817097e-06,1.237848887182077e-06,1.9895638442796497e-06,2.4504263895553794e-07,30.0,7.471503464184992e-14,success
4,1.8211527586689368e-06,1.8958852792790006e-06,8.897580390095712e-07,9.076242715643983e-07,50.0,0.0,success
5,1.1550790166173575e-06,1.6292815684925946e-06,2.108537412701454e-06,6.955401613044368e-07,34.78516088172854,1.8742759576957786e-13,success
6,5.36891036095879e-07,1.5084819939572616e-06,1.17335954318998e-06,-9.573976781101185e-07,37.02522964757229,0.0,success
7,1.2127493750586366e-06,8.484249617289221e-07,1.2325202123892585e-06,5.110501352607269e-07,46.56913004237739,2.958205065678088e-14,success
8,2.0707425861675868e-06,1.599362528919173e-06,8.792559706718573e-07,6.522014788892282e-08,32.87102360080319,2.7391347978125104e-13,success
9,5.32e-07,1.1873785447691092e-06,1.6009891555274501e-06,5.280841451210597e-07,31.412367856205954,5.808452079855612e-13,success
10,1.7887158888330164e-06,1.01298447983987e-06,1.3820791090035654e-06,8.776712677059424e-07,38.478256482057375,0.0,success
11,7.893608319756268e-07,7.394681582116412e-07,6.14714187938115e-07,-5.1579971514206865e-09,33.804752855424944,1.81584252960509e-13,success
12,9.491476329512889e-07,7.672621586238602e-07,8.080279603169827e-07,-5.476189355340898e-07,30.714550625415264,0.0,success
13,1.4059726369002758e-06,1.113320292358161e-06,1.2005688985429994e-06,5.493089685866075e-07,44.52754166402606,2.1265457465959924e-14,success
14,5.32e-07,8.293078438561095e-07,1.609341709256695e-06,-1.0494825402860789e-06,32.019177717260334,0.0,success
15,5.32e-07,2.128e-06,5.32e-07,1.064e-06,35.84065282728535,0.0,success
16,1.1081281849470137e-06,1.9292010650553473e-06,5.691910106679414e-07,4.988702424305679e-07,41.38856709219796,0.0,success
17,1.0780348815696867e-06,1.7326067536596436e-06,7.270960534745505e-07,1.0224017815690708e-06,48.97578793240461,0.0,success
18,1.1398694265594836e-06,1.5601969609446799e-06,1.136360663693176e-06,5.323441277070537e-07,38.88573522191289,8.120160861727724e-15,success
19,5.372244128136753e-07,1.6923706850139258e-06,1.5383328407657185e-06,-3.8592541985121133e-07,35.368076876035886,5.906334568069574e-14,success
20,1.84910609034844e-06,1.3066061682030571e-06,5.320000000000233e-07,-1.606546720546139e-07,30.0,4.40220736221353e-14,success
21,6.373846194014312e-07,1.9604223269911698e-06,1.0885529877202364e-06,-7.373987952084668e-07,32.46961540580766,0.0,success
22,1.0863045554665493e-06,1.9390818248286624e-06,1.4928204673083856e-06,-1.3586476576373785e-07,30.0,3.034972927121691e-13,success
23,1.6778764919228716e-06,7.100003715257304e-07,2.128e-06,-1.064e-06,30.0,4.084966081777727e-14,success
24,2.128e-06,9.416492903843243e-07,2.128e-06,8.710997882168262e-07,45.69191368417894,6.5245418633191975e-15,success
25,1.5953757370288849e-06,1.1154175176067738e-06,1.14109410312731e-06,9.695983677544604e-07,33.364230086687,0.0,success
26,5.32e-07,9.495806008651371e-07,6.504161397450135e-07,1.0489252192267034e-06,41.91876470103788,0.0,success
27,2.128e-06,7.167295457868568e-07,7.359583093119851e-07,2.793456228472441e-07,46.96046990988887,2.2906797916437904e-14,success
28,2.128e-06,1.5776987981052115e-06,8.920747194032489e-07,-4.756282629387365e-07,31.029093969218522,0.0,success
29,2.128e-06,1.3256183224084645e-06,5.776113398813919e-07,-3.0116825992664767e-07,43.156349911276315,0.0,success
30,2.128e-06,6.913501929740067e-07,1.9676536985319483e-06,-2.0842024724971813e-07,40.74264367688088,1.2317193848953016e-14,success
