iteration,x,y,z,xspan,yspan,zspan,power,status
1,0.0,0.0,0.0,1.1,1.1,1.1,9.75628664999574e-14,success
2,0.5706223249435425,-0.6109294593334198,-0.864055410027504,1.3318033695220948,1.2780276536941528,0.663771265745163,2.632278522663781e-15,success
3,-0.42592183500528336,0.23425871320068836,0.8704224731773138,0.8850502153858544,0.7050345536321403,1.4131772978231312,7.224530762305982e-15,success
4,-0.645326379686594,-0.3742552511394024,-0.03428628668189049,1.8886868070811034,0.40271432492882014,1.8891461236402391,1.05963669261341e-14,success
5,0.3521940913051367,0.9700097609311342,0.043460940942168236,0.5494043644517661,1.5664502326399088,0.40579845122992997,1.5128383955228577e-13,success
6,0.10843486522896505,1.0,-0.1486498822500068,0.5024152415251775,2.0,0.6133948297503286,1.1812691161842192e-13,success
7,0.794207929118402,1.0,0.28456818563645914,0.8313235318434213,1.4917787655443486,0.2,2.570566781309979e-14,success
8,0.2772338039641697,1.0,0.21859489044425792,0.3305134371366343,1.1681149721232718,0.3133476724468445,7.555451131388691e-14,success
9,0.2578265512919546,1.0,-0.049033439570422485,0.5881885405522214,1.6854233428400132,0.5227113886854847,7.38492627002243e-14,success
10,0.39893050787205947,1.0,0.10005563910111871,0.540944049103407,1.675622113805183,0.3632028313016714,9.179233620802016e-14,success
11,0.3575364932756119,0.6597179447869994,-0.1492354260091901,0.4919825392830937,0.9519506279294792,0.32547610001538985,2.7874234151393e-14,success
12,0.1494325155315119,0.9524214263137077,0.6545422961914624,0.2,1.7538741572608243,0.2669709146668223,1.1078410461842308e-14,success
13,0.41370058745941635,1.0,0.03699920685323359,0.4036924466189927,1.4027224184509604,0.2387395681088853,3.442090875051709e-14,success
14,0.3294107595782207,0.9886618413826819,0.05249586766779453,0.5233618610410267,1.448212389833422,0.4119791750237434,1.1063632046540433e-13,success
15,0.5870990626840131,0.7955705359420991,-0.3261148429689646,0.8414312168462752,1.5574643807982673,0.4189111175211589,1.4514071235160984e-14,success
16,0.3467524724306188,0.9566508293659043,0.02154248727009535,0.5701229456459775,1.613996315558717,0.42183165362129915,7.782469608968872e-14,success
17,0.2286010484508672,1.0,0.14958545697100753,0.38854910359721684,1.1973191290053793,0.4249689787400001,8.442546002645188e-14,success
18,0.025367603918190578,0.9998903512021363,0.14813834119084654,0.7411649246276942,1.4692680751202456,0.40413159579578367,2.0962808303828607e-13,success
19,-0.018645650913063347,1.0,0.17947013845137572,0.7114243681069286,1.980092688527863,0.5406461703745301,6.244657639325838e-14,success
20,0.10725880544977152,0.9941457905527948,0.1144716803534194,0.659577885825455,1.5067360851844933,0.43189162915439117,1.3894816592303635e-13,success
21,-0.055189855071900225,0.9896004323608447,0.20226640643157007,0.7341956325927113,1.501470540254868,0.39460525656975526,2.485386636054378e-13,success
22,0.038213074253690686,1.0,0.24945051952813155,1.2126562602054995,1.4908693508561939,0.39752359497521134,1.5071758516080952e-13,success
23,-0.23409876562328466,1.0,0.10757750102385095,0.724234104725523,1.391511203324561,0.3974900757107274,1.351887596257869e-13,success
24,0.08142484928339608,0.9865902714011348,0.22451923205132512,0.6379955422462557,1.5356388223194533,0.38971940968719426,1.9617502827411123e-13,success
25,-0.02687037261508576,1.0,0.13042691910035475,0.765410026485955,1.379805207540665,0.3719215340715299,1.6540113258042147e-13,success
26,-0.08934012075303484,1.0,0.32756838092387364,0.7637399429279307,1.4826623597684383,0.36048692162597146,1.2117929321494586e-13,success
27,0.029086707913956563,0.9852153534467091,0.13738079873563466,0.7591675444759809,1.4944872740168584,0.38585635474226476,2.2737064790948886e-13,success
28,0.3383673734256403,0.9464561879295643,0.18627216237099134,0.4773660046709271,1.4678567254623591,0.41055510712625487,1.0260273643796886e-13,success
29,0.40201346870473964,1.0,0.028888291953356484,0.5876362443565131,1.515003767147512,0.8309996756823131,5.303744879374518e-14,success
30,-0.05363349031767041,0.9990135837248254,0.17488886558132946,0.7325576978992939,1.5716927177096316,0.40966488732053,1.7228903970596702e-13,success

iteration,x,y,z,xspan,yspan,zspan,power,status
1,0.0,0.0,0.0,1.1,1.1,1.1,9.75628664999574e-14,success
2,-0.5697003901004791,-0.4013962745666504,0.4217463731765747,1.1717607855796814,1.4079616904258727,0.7971223294734955,1.128187440926289e-13,success
3,0.5539814755320549,0.48839923553168774,-0.3445378188043833,0.47283305712044243,0.7792656118050219,1.9283734204247593,3.258998435931974e-13,success
4,0.27789160050451756,-0.7533791419118643,0.95392613299191,1.8474470991641283,0.4936277911067009,1.2161770453676581,8.340218724979974e-16,success
5,-0.3560447581112385,0.8558831494301558,-0.7810163702815771,0.6971451392397285,1.6654740886762738,0.5496202370151877,3.738530161166069e-15,success
6,1.0,-1.0,-1.0,2.0,2.0,2.0,1.226864394268347e-13,success
7,-1.0,1.0,-1.0,2.0,0.2,2.0,1.934107111244775e-14,success
8,-1.0,-1.0,-1.0,0.2,0.2,0.2,1.2993969041644654e-14,success
9,1.0,1.0,-1.0,2.0,0.2,0.2,3.6351506254977e-14,success
10,-1.0,1.0,1.0,2.0,2.0,0.2,5.407967633815337e-15,success

