iteration,radius_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
1,1.197e-06,1.33e-06,3.99e-07,44.95,0.0,success
2,1.1302719599008562e-06,1.1026930284500123e-06,6.75589428782463e-07,66.60847287774087,2.6873657383099234e-14,success
3,1.9130018128212543e-06,1.682496037784964e-06,3.269427230916917e-07,34.56566750155762,0.0,success
4,1.2840117552038284e-06,6.941669874489308e-07,9.590323158316314e-07,79.28806132311001,5.996964830133203e-16,success
5,4.938961525969207e-07,2.084439127299935e-06,-3.306191235221922e-08,21.78529919572175,0.0,success
6,6.889940669694869e-07,1.3989613370067825e-06,6.728763928942111e-07,83.76524608490328,0.0,success
