iteration,radius_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
6,1.972341594217893e-06,1.0099402530759616e-06,2.5346768335498014e-07,50.0,1.066551455904512e-13,success
7,9.99528495240203e-07,2.680254828011369e-06,-6.608250315830161e-07,48.55146193169628,4.8919480105172684e-14,success
8,1.6786791197875347e-06,1.358055168547459e-06,2.0290329022620223e-07,30.0,8.98953374127796e-13,success
9,1.6882387338292848e-06,8.723244326196443e-07,6.821722757452075e-08,30.0,4.143325498235015e-13,success
10,1.6893365504559427e-06,1.4630132603899766e-06,-1.7936652770825017e-07,30.19030249111289,5.61587411522026e-13,success
11,1.8368507003368026e-06,1.7411396079388142e-06,2.0262118830092885e-07,30.0,7.750514834194467e-13,success
12,1.4027780989938198e-06,1.3468639200136702e-06,2.1790063134369386e-07,30.0,5.343618508087181e-13,success
13,1.7361491850813003e-06,8.08478374501331e-07,2.2174256506631226e-07,30.0,2.4566987964524804e-13,success
14,1.7229472589212948e-06,1.482574903808417e-06,1.3247753281627644e-07,30.0,1.4422350744354423e-12,success
15,1.8262434759054503e-06,1.5161272396798627e-06,9.728336876546026e-08,30.0,9.976616962725428e-13,success
16,1.7409696782297416e-06,1.5821313090997663e-06,1.0215646112192075e-07,30.0,5.858220944010137e-13,success
17,1.8272388363483371e-06,1.4463615457837162e-06,2.2093123085575627e-07,34.37281425998066,8.281227109520818e-13,success
18,1.7748320595186015e-06,1.5022691335619872e-06,3.3871228626928355e-07,30.0,8.437043680265966e-13,success
19,1.6977826298519998e-06,1.5003349603913212e-06,1.4009877229521373e-07,38.046772526632346,2.718530823752371e-13,success
20,1.926609450049158e-06,1.3864840975331842e-06,1.3698475228450392e-07,30.0,3.897274059603196e-13,success
21,8.400958651522749e-07,1.7053801713200213e-06,2.486331144301112e-07,30.0,4.600777909095808e-13,success
22,1.5733690483032918e-06,1.8062806414624657e-06,3.606083448228622e-07,30.0,1.4020378750452376e-12,success
23,1.6320633788146002e-06,1.8872192202437229e-06,3.3435095566176603e-07,31.618472219692602,1.5800267707730595e-12,success
24,1.5907290623293006e-06,2.1888264234293978e-06,3.632198477793714e-07,31.32442401376024,1.4930340019520992e-12,success
25,1.5977786144796677e-06,2.0398311366612844e-06,5.16189717196126e-07,32.580233372357775,2.009477053625428e-12,success
26,1.5047232533030654e-06,2.1603015404084634e-06,6.019661280105709e-07,33.34407402062152,7.202237559675724e-13,success
27,1.683152651063602e-06,2.099564303823981e-06,4.84575068906073e-07,32.19934130405633,2.408131666471519e-12,success
28,1.7021752934110912e-06,2.28868946527493e-06,5.910239496722637e-07,32.871287447803624,4.633622335065623e-13,success
29,1.7170469366492442e-06,2.074658841715645e-06,4.2540061887204753e-07,31.60335891132317,4.500752662761249e-13,success
